ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.000717397,0.000755264,0.000003237,10,0,
1,200,0.000450149,0.000533722,0.000008423,10,0,
1,200,0.000681009,0.000718293,0.000003152,10,0,
1,200,0.000745295,0.000784502,0.000003301,10,0,
1,200,0.000902020,0.000942743,0.000003471,10,0,
1,200,0.001116984,0.001203743,0.000008743,10,0,
1,200,0.000742156,0.000818981,0.000003149,10,0,
1,200,0.000725109,0.000817442,0.000009251,10,0,
1,200,0.000646948,0.000684561,0.000003189,10,0,
1,200,0.000842863,0.000884009,0.000003459,10,0,
1,200,0.000716723,0.000755550,0.000003322,10,0,
1,200,0.000756350,0.000795632,0.000003309,10,0,
1,200,0.000706090,0.000744349,0.000003246,10,0,
1,200,0.000737816,0.000775468,0.000003163,10,0,
1,200,0.000698262,0.000736671,0.000003298,10,0,
1,200,0.000654591,0.000691371,0.000003109,10,0,
1,200,0.000676379,0.000762034,0.000008489,10,0,
1,200,0.000696918,0.000783692,0.000008636,10,0,
1,200,0.000788293,0.000876636,0.000008739,10,0,
1,200,0.000647112,0.000735320,0.000008815,10,0,
1,200,0.000712126,0.000750630,0.000003269,10,0,
1,200,0.000698976,0.000753944,0.000004794,10,0,
1,200,0.000662401,0.000700394,0.000003216,10,0,
1,200,0.000690266,0.000779371,0.000008870,10,0,
1,200,0.000729634,0.000766902,0.000003148,10,0,
1,200,0.000890318,0.000982847,0.000009165,10,0,
1,200,0.000724773,0.000762915,0.000003240,10,0,
1,200,0.000750519,0.000789614,0.000003355,10,0,
1,200,0.000742501,0.000780621,0.000003242,10,0,
1,200,0.000889656,0.000983137,0.000009358,10,0,
1,200,0.000700634,0.000738085,0.000003140,10,0,
1,200,0.000694084,0.000783041,0.000008796,10,0,
1,200,0.000740863,0.000831733,0.000009034,10,0,
1,200,0.000719173,0.000807655,0.000008798,10,0,
1,200,0.000729082,0.000821112,0.000009227,10,0,
1,200,0.000780546,0.000865003,0.000008310,10,0,
1,200,0.000684786,0.000774062,0.000008912,10,0,
1,200,0.000670111,0.000755597,0.000008502,10,0,
1,200,0.000751059,0.001050267,0.000032139,10,0,
1,200,0.000537439,0.000710519,0.000018271,10,0,
1,200,0.000786454,0.000824228,0.000003174,10,0,
1,200,0.000574984,0.000661999,0.000008690,10,0,
1,200,0.000751072,0.000843719,0.000009277,10,0,
1,200,0.000705101,0.000741427,0.000003060,10,0,
1,200,0.000895686,0.000983262,0.000008675,10,0,
1,200,0.000525910,0.000594930,0.000006777,10,0,
1,200,0.000518202,0.000584724,0.000006632,10,0,
1,200,0.000711551,0.000748913,0.000003101,10,0,
1,200,0.000700127,0.000737165,0.000003135,10,0,
1,200,0.000656926,0.000763051,0.000010768,10,0,
1,200,0.000741650,0.000777987,0.000003028,10,0,
1,200,0.000663982,0.000702159,0.000003237,10,0,
1,200,0.000656760,0.000694059,0.000003130,10,0,
1,200,0.000556867,0.000592449,0.000003047,10,0,
1,200,0.000647094,0.000736617,0.000008997,10,0,
1,200,0.000762228,0.000797601,0.000002949,10,0,
1,200,0.000648545,0.000683189,0.000002916,10,0,
1,200,0.000706103,0.000795031,0.000008842,10,0,
1,200,0.000720506,0.000806592,0.000008631,10,0,
1,200,0.000778440,0.000816889,0.000003211,10,0,
1,200,0.000720350,0.000757832,0.000003146,10,0,
1,200,0.000741901,0.000778750,0.000003156,10,0,
1,200,0.000727900,0.000815180,0.000008681,10,0,
1,200,0.000737706,0.000829594,0.000009123,10,0,
1,200,0.000655658,0.000746366,0.000008982,10,0,
1,200,0.000812108,0.000902973,0.000009083,10,0,
1,200,0.000801519,0.000896354,0.000009524,10,0,
1,200,0.000698845,0.000736904,0.000003137,10,0,
1,200,0.000688032,0.000723289,0.000002954,10,0,
1,200,0.000732134,0.000768303,0.000003029,10,0,
1,200,0.000718280,0.000755685,0.000003163,10,0,
1,200,0.000727714,0.000765267,0.000003145,10,0,
1,200,0.000659250,0.000696839,0.000003155,10,0,
1,200,0.000635333,0.000720693,0.000008477,10,0,
1,200,0.000564544,0.000647864,0.000008344,10,0,
1,200,0.000732511,0.000768158,0.000002999,10,0,
1,200,0.000675617,0.000713430,0.000003148,10,0,
1,200,0.000697484,0.000734114,0.000003051,10,0,
1,200,0.000743776,0.000779450,0.000003005,10,0,
1,200,0.000702300,0.000789292,0.000008625,10,0,
1,200,0.000882138,0.000977938,0.000009530,10,0,
1,200,0.000604767,0.000689170,0.000008475,10,0,
1,200,0.000734665,0.000770998,0.000003071,10,0,
1,200,0.000798384,0.000954810,0.000016333,10,0,
1,200,0.000702098,0.000736480,0.000002866,10,0,
1,200,0.000634546,0.000670832,0.000003080,10,0,
1,200,0.000603405,0.000637604,0.000002914,10,0,
1,200,0.000753713,0.000790962,0.000003077,10,0,
1,200,0.000720851,0.000756313,0.000002947,10,0,
1,200,0.000572505,0.000658416,0.000008612,10,0,
1,200,0.000691905,0.000730949,0.000003346,10,0,
1,200,0.000402322,0.000435456,0.000002892,10,0,
1,200,0.000640764,0.000678452,0.000003255,10,0,
1,200,0.000438998,0.000492709,0.000002944,10,0,
1,200,0.000620008,0.000690235,0.000003035,10,0,
1,200,0.000720374,0.000756154,0.000002955,10,0,
1,200,0.000671440,0.000760755,0.000008879,10,0,
1,200,0.000689919,0.000726703,0.000003093,10,0,
1,200,0.000685552,0.000964142,0.000029898,10,0,
1,200,0.000563945,0.000631302,0.000006549,10,0,
1,200,0.000430687,0.000530337,0.000010189,10,0,
1,200,0.000616504,0.000652772,0.000003046,10,0,
1,200,0.000609624,0.000646653,0.000003109,10,0,
1,200,0.000714313,0.000799963,0.000008569,10,0,
1,200,0.000611215,0.000647854,0.000003117,10,0,
1,200,0.000682835,0.000719469,0.000003077,10,0,
1,200,0.000669152,0.000755685,0.000008597,10,0,
1,200,0.000699226,0.000736032,0.000003105,10,0,
1,200,0.000525957,0.000560222,0.000002945,10,0,
1,200,0.000521067,0.000555612,0.000002915,10,0,
1,200,0.000502075,0.000537408,0.000003027,10,0,
1,200,0.000661184,0.000913716,0.000027108,10,0,
1,200,0.000423015,0.000456326,0.000002923,10,0,
1,200,0.000761028,0.000852685,0.000009100,10,0,
1,200,0.000805357,0.000844117,0.000003278,10,0,
1,200,0.000804138,0.000868837,0.000002877,10,0,
1,200,0.000888877,0.000974249,0.000008408,10,0,
1,200,0.000565883,0.000638625,0.000003230,10,0,
1,200,0.000699116,0.000733594,0.000002875,10,0,
1,200,0.000690972,0.000771363,0.000007926,10,0,
1,200,0.000689079,0.000770041,0.000008095,10,0,
1,200,0.000647971,0.000721220,0.000003134,10,0,
1,200,0.000837749,0.000932993,0.000009575,10,0,
1,200,0.000778804,0.000817513,0.000003295,10,0,
1,200,0.000877249,0.000965291,0.000008742,10,0,
1,200,0.000711797,0.000751391,0.000003369,10,0,
1,200,0.000583696,0.000622697,0.000003294,10,0,
1,200,0.000667052,0.000755084,0.000008812,10,0,
1,200,0.000790058,0.000881004,0.000009093,10,0,
1,200,0.000761662,0.000853454,0.000009156,10,0,
1,200,0.000752454,0.000789682,0.000003127,10,0,
1,200,0.000870361,0.000905837,0.000002911,10,0,
1,200,0.000733057,0.000824407,0.000009189,10,0,
1,200,0.000740287,0.000827521,0.000008737,10,0,
1,200,0.000698809,0.000783607,0.000008416,10,0,
1,200,0.000734746,0.000772165,0.000003161,10,0,
1,200,0.000688949,0.000726632,0.000003186,10,0,
1,200,0.000677511,0.000713300,0.000003027,10,0,
1,200,0.000753009,0.000804295,0.000004593,10,0,
1,200,0.000815551,0.000909209,0.000009355,10,0,
1,200,0.000732946,0.000822652,0.000008974,10,0,
1,200,0.000735389,0.000824667,0.000008949,10,0,
1,200,0.000756593,0.000850923,0.000009400,10,0,
1,200,0.000751630,0.000786103,0.000002817,10,0,
1,200,0.000857929,0.000894084,0.000003054,10,0,
1,200,0.000598225,0.000679596,0.000008196,10,0,
1,200,0.000499319,0.000578724,0.000007964,10,0,
1,200,0.000706383,0.000796216,0.000008995,10,0,
1,200,0.000693098,0.000784772,0.000009215,10,0,
1,200,0.000705440,0.000743562,0.000003144,10,0,
1,200,0.000772169,0.000863689,0.000009101,10,0,
1,200,0.000668870,0.000757523,0.000008847,10,0,
1,200,0.000706123,0.000742260,0.000003056,10,0,
1,200,0.000677200,0.000714340,0.000003158,10,0,
1,200,0.000593884,0.000681435,0.000008811,10,0,
1,200,0.000658691,0.000934882,0.000027633,10,0,
1,200,0.000612303,0.000730115,0.000012075,10,0,
1,200,0.000751094,0.000845829,0.000009493,10,0,
1,200,0.000704913,0.000741902,0.000003136,10,0,
1,200,0.000676508,0.000926489,0.000026759,10,0,
1,200,0.000536762,0.000622596,0.000008657,10,0,
1,200,0.000592744,0.000681740,0.000008892,10,0,
1,200,0.000601890,0.000639948,0.000003220,10,0,
1,200,0.000723008,0.000813423,0.000009011,10,0,
1,200,0.000565255,0.000622055,0.000002902,10,0,
1,200,0.000711102,0.000785708,0.000003232,10,0,
1,200,0.000748650,0.000844862,0.000009592,10,0,
1,200,0.000680718,0.000761851,0.000007985,10,0,
1,200,0.000683392,0.000721869,0.000003255,10,0,
1,200,0.000723029,0.000783968,0.000005710,10,0,
1,200,0.000658722,0.000745758,0.000008722,10,0,
1,200,0.000711422,0.000749617,0.000003227,10,0,
1,200,0.000600442,0.000693232,0.000009362,10,0,
1,200,0.000701419,0.000753061,0.000004716,10,0,
1,200,0.000627609,0.000715939,0.000008755,10,0,
1,200,0.000560782,0.000599804,0.000003313,10,0,
1,200,0.000792342,0.000878101,0.000008574,10,0,
1,200,0.000724154,0.000815448,0.000009111,10,0,
1,200,0.000740533,0.000830994,0.000009031,10,0,
1,200,0.000424698,0.000493356,0.000002867,10,0,
1,200,0.000716863,0.000754224,0.000003179,10,0,
1,200,0.000594997,0.000632175,0.000003153,10,0,
1,200,0.000642313,0.000679990,0.000003176,10,0,
1,200,0.000766992,0.000854064,0.000008689,10,0,
1,200,0.000703605,0.000785947,0.000008194,10,0,
1,200,0.000570550,0.000659115,0.000008877,10,0,
1,200,0.000639482,0.000755079,0.000011848,10,0,
1,200,0.000721481,0.000758872,0.000003155,10,0,
1,200,0.000373534,0.000408928,0.000003063,10,0,
1,200,0.000501557,0.000536178,0.000002977,10,0,
