ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.001223757,0.001540718,0.000033706,10,0,
1,200,0.000822348,0.000881623,0.000002927,10,0,
1,200,0.001075013,0.001161515,0.000008161,10,0,
1,200,0.000813334,0.000898345,0.000008104,10,0,
1,200,0.000981892,0.001065761,0.000007959,10,0,
1,200,0.001013197,0.001076742,0.000002792,10,0,
1,200,0.001111511,0.001202665,0.000008649,10,0,
1,200,0.001069329,0.001162319,0.000008786,10,0,
1,200,0.001017249,0.001055854,0.000002946,10,0,
1,200,0.001102334,0.001141138,0.000002922,10,0,
1,200,0.001061313,0.001149975,0.000002858,10,0,
1,200,0.001113936,0.001201940,0.000008302,10,0,
1,200,0.000934112,0.000970981,0.000002813,10,0,
1,200,0.001172231,0.001257436,0.000002891,10,0,
1,200,0.001035356,0.001124615,0.000002920,10,0,
1,200,0.001153244,0.001262106,0.000007660,10,0,
1,200,0.001082621,0.001174552,0.000008691,10,0,
1,200,0.001005573,0.001095994,0.000002868,10,0,
1,200,0.001123356,0.001161138,0.000002807,10,0,
1,200,0.001043698,0.001082472,0.000002971,10,0,
1,200,0.001103165,0.001141921,0.000002818,10,0,
1,200,0.001034433,0.001101799,0.000002889,10,0,
1,200,0.001131096,0.001169067,0.000002898,10,0,
1,200,0.000995692,0.001087290,0.000008735,10,0,
1,200,0.001069727,0.001108672,0.000002917,10,0,
1,200,0.001211068,0.001250211,0.000002930,10,0,
1,200,0.000982575,0.001070746,0.000002916,10,0,
1,200,0.001093086,0.001132247,0.000002954,10,0,
1,200,0.001117215,0.001205480,0.000002879,10,0,
1,200,0.001040457,0.001108511,0.000002837,10,0,
1,200,0.001080579,0.001173181,0.000008894,10,0,
1,200,0.000765316,0.000851450,0.000008264,10,0,
1,200,0.001073786,0.001112477,0.000002897,10,0,
1,200,0.000883503,0.000946545,0.000002846,10,0,
1,200,0.001235402,0.001274156,0.000002927,10,0,
1,200,0.000954134,0.001040433,0.000008221,10,0,
1,200,0.000790954,0.000872093,0.000007784,10,0,
1,200,0.000852232,0.000914960,0.000002726,10,0,
1,200,0.001203295,0.001241597,0.000002910,10,0,
1,200,0.000683314,0.000762728,0.000007592,10,0,
1,200,0.000744998,0.000782766,0.000002937,10,0,
1,200,0.000725158,0.000762111,0.000002925,10,0,
1,200,0.000903589,0.000992931,0.000003155,10,0,
1,200,0.001055568,0.001093858,0.000002868,10,0,
1,200,0.001177051,0.001214552,0.000002848,10,0,
1,200,0.000825104,0.000912751,0.000008378,10,0,
1,200,0.001017705,0.001076144,0.000002804,10,0,
1,200,0.001072124,0.001163034,0.000008648,10,0,
1,200,0.001079739,0.001141668,0.000002882,10,0,
1,200,0.001090280,0.001128512,0.000002913,10,0,
1,200,0.001133195,0.001172054,0.000002930,10,0,
1,200,0.000959979,0.000998755,0.000002972,10,0,
1,200,0.000993844,0.001060168,0.000002890,10,0,
1,200,0.001090715,0.001171164,0.000002915,10,0,
1,200,0.000934110,0.001018601,0.000007988,10,0,
1,200,0.000958949,0.001045963,0.000002963,10,0,
1,200,0.000887270,0.000983571,0.000002948,10,0,
1,200,0.001248527,0.001341119,0.000008783,10,0,
1,200,0.000939706,0.001030143,0.000008636,10,0,
1,200,0.001042130,0.001128963,0.000002936,10,0,
1,200,0.000936934,0.001025604,0.000008392,10,0,
1,200,0.000934494,0.001024750,0.000008524,10,0,
1,200,0.001100811,0.001190843,0.000008417,10,0,
1,200,0.001066715,0.001154733,0.000002844,10,0,
